         2093178 function calls (2075061 primitive calls) in 13.346 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    15227    0.004    0.000    0.004    0.000 {method 'startswith' of 'str' objects}
   361/57    0.001    0.000    0.004    0.000 sre_compile.py:71(_compile)
        6    0.000    0.000    0.004    0.001 togglebutton.py:82(__init__)
      106    0.000    0.000    0.004    0.000 __init__.py:590(render_lines)
      385    0.002    0.000    0.004    0.000 label.py:345(<listcomp>)
        1    0.000    0.000    0.004    0.004 pickle.py:1(<module>)
       36    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1324(_path_hooks)
    14718    0.004    0.000    0.004    0.000 {method 'copy' of 'dict' objects}
      973    0.003    0.000    0.004    0.000 style.kv:10(<module>)
      138    0.000    0.000    0.004    0.000 enum.py:358(__call__)
     6397    0.003    0.000    0.004    0.000 parser.py:623(<genexpr>)
        1    0.000    0.000    0.004    0.004 atlas.py:185(__init__)
      403    0.004    0.000    0.004    0.000 {method 'write' of '_io.BufferedRandom' objects}
      700    0.003    0.000    0.004    0.000 widget.py:1102(set_top)
        1    0.000    0.000    0.004    0.004 atlas.py:193(_load)
        1    0.000    0.000    0.003    0.003 fromnumeric.py:1(<module>)
    27061    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
     1623    0.003    0.000    0.003    0.000 {method 'crop' of 'ImagingCore' objects}
        1    0.000    0.000    0.003    0.003 event.py:6(<module>)
    16393    0.003    0.000    0.003    0.000 __init__.py:1689(isEnabledFor)
        1    0.000    0.000    0.003    0.003 bz2.py:1(<module>)
      973    0.003    0.000    0.003    0.000 style.kv:241(<module>)
      320    0.002    0.000    0.003    0.000 __init__.py:1345(clear)
     1039    0.002    0.000    0.003    0.000 style.kv:251(<module>)
       12    0.000    0.000    0.003    0.000 enum.py:475(_create_)
      116    0.000    0.000    0.003    0.000 Image.py:1142(copy)
      286    0.001    0.000    0.003    0.000 overrides.py:89(verify_matching_signatures)
        3    0.000    0.000    0.003    0.001 __init__.py:109(import_module)
      4/3    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap>:1018(_gcd_import)
      229    0.000    0.000    0.003    0.000 ntpath.py:524(abspath)
     1040    0.000    0.000    0.003    0.000 re.py:233(findall)
     4342    0.003    0.000    0.003    0.000 {built-in method _codecs.charmap_decode}
      106    0.000    0.000    0.003    0.000 text_sdl2.py:46(_render_text)
        8    0.000    0.000    0.003    0.000 classes.py:184(__init__)
    28/27    0.000    0.000    0.003    0.000 logger.py:237(emit)
        1    0.000    0.000    0.003    0.003 events.py:1(<module>)
      106    0.003    0.000    0.003    0.000 {method 'render' of 'kivy.core.text._text_sdl2._SurfaceContainer' objects}
        1    0.000    0.000    0.003    0.003 __init__.py:1224(get_gl_backend_name)
        1    0.000    0.000    0.003    0.003 {built-in method kivy.graphics.cgl.cgl_get_backend_name}
        1    0.000    0.000    0.003    0.003 TiffImagePlugin.py:41(<module>)
       18    0.001    0.000    0.003    0.000 enum.py:179(__new__)
        2    0.000    0.000    0.003    0.002 function_base.py:1(<module>)
        2    0.000    0.000    0.003    0.002 parser.py:1(<module>)
        1    0.000    0.000    0.003    0.003 utils.py:2(<module>)
        1    0.000    0.000    0.003    0.003 __init__.py:42(print_gl_version)
      966    0.002    0.000    0.003    0.000 style.kv:240(<module>)
        1    0.000    0.000    0.003    0.003 defchararray.py:1(<module>)
   134/13    0.000    0.000    0.003    0.000 widget.py:528(on_touch_down)
      116    0.003    0.000    0.003    0.000 {method 'copy' of 'ImagingCore' objects}
